period_days,radius_rearth,depth_true,depth_fit,t14_true,t14_seed
1.0,12,0.023030799343292805,0.007045597395377029,0.06369226866839606,0.05
1.0,12,0.01291173612972815,0.0028020707370525495,0.06759033473139976,0.05
1.0,12,0.13389525447506423,0.008535642305585078,0.04777888212060874,0.05
1.0,12,0.011016837011205292,0.006435722708733752,0.08589178648494579,0.05
1.0,12,0.019622454722705875,0.0067818839765947615,0.06561519228234142,0.05
1.0,12,0.006936092981635425,0.005863645291057095,0.10882107259175713,0.1
2.0,1,1.2859919591268138e-05,0.0007477934729955551,0.2428928077790546,0.05
1.0,12,0.001851828421142612,0.0008195862101583787,0.19013633772942326,0.05
1.0,12,0.0009782421316178362,0.0012750069886431098,0.2412997196712135,0.1
1.0,12,0.0020475570933015668,0.002681946847608467,0.18694384339432316,0.05
1.0,12,0.00986171310086105,0.002786206624599226,0.08999215071228349,0.05
1.0,12,0.010007137156719999,0.010401087777043322,0.0753249586250249,0.05
1.0,12,0.009393392871445503,0.0037489543504060133,0.09075951008339005,0.05
1.0,12,0.004562539510108274,0.002334235184255499,0.11795840304054042,0.05
1.0,12,0.01727629028854484,0.007614519505907247,0.0733377495413561,0.05
1.0,12,0.00588571199529875,0.0038310631914729295,0.11410030114285141,0.1
1.0,12,0.0012868535201448128,0.0015077251402033818,0.21052911639918442,0.1
2.0,2,0.0005347370237564996,0.00023608309582188422,0.0815470473813035,0.05
2.0,2,0.0012511772667545792,0.0007409590365908477,0.06383094303294695,0.05
2.0,2,0.0005422209772361246,0.00012553594141867367,0.07935840124164961,0.05
2.0,2,5.143967836507255e-05,0.0007480790112316737,0.24389514234841408,0.05
2.0,4,0.0003592214758331416,0.0002321506508236416,0.17412279326868257,0.1
2.0,4,0.0006539679994776389,0.0004774421890626596,0.12928370939967448,0.1
2.0,4,0.0008301191553934877,0.00033231882747905426,0.11023257557213854,0.05
2.0,4,0.00039414077698854866,0.00021389890812412973,0.12920334396973357,0.1
2.0,4,0.0014425529102188007,0.0011569135203595802,0.09512796751036927,0.05
2.0,4,0.0014346373477475724,0.0007246991194217976,0.08907771659413836,0.05
2.0,4,0.0016364284101642104,0.0005869884701797785,0.08410539107642258,0.1
2.0,4,0.00218027274696732,0.0005215228132710415,0.07818981362779191,0.05
2.0,4,0.0021389480950259982,0.0007982386570605117,0.08357294059141772,0.05
2.0,4,0.0009174752353461123,0.0005608036048327166,0.11984463873947578,0.1
2.0,4,0.005004709067018317,0.001564650467186157,0.054742103859464,0.05
2.0,4,0.0017278370505876925,0.0002477009815945567,0.07261991503714216,0.05
2.0,4,0.0002057587134602902,0.000748495816070807,0.2562353846492391,0.05
2.0,4,0.0013394787933246775,0.0002565425618710888,0.08145026755195933,0.05
