kind,sealed,no_shape,no_fap_gate
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,True
null,False,False,True
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
